Your the best....you made me feel so much better about myself__																																				
I would love to hear more about your journey. It's important to talk about these issues.																																				
Gabbie 	 everyone comes in different shapes and sizes and honestly I find myself fat and people think I'm perfect and have a great body and I really just notice that people find me ok but I don't accept myself and my body so I hope that helps you __________________																																			
I love Gabbie	 but people need to seriously shut the fuck up about eating disorders...If you feel like eating	 eat. If you do not	 don't eat. It is not hard to stop caring what the world thinks about your body. Not giving a shit is probably one of the easiest things you can do.There are worse things happening than your first world problems	 there are actual problems	 everyone needs to stop bitching about body dysmorphia	 fucking westerners...																														
I'm not saying this bc the video but honestly I've always thought Gabbie has had an AMAZING body.																																				
Gabby	 so many girls go through this so thank you so much for being courageous enough to share your struggle with it. You are so beautiful inside and out!																																			
this video is a very serious topic but umm did she say she ate GOLDFISH?!?! is that some sort of sweet??																																				
Awe Gab! You are so so beautiful	 inside and out	 and you're not fat. There will always be people out there giving you hate	 but for every one hater there will be 10 people who love you	 for who you are	 and not what you look like. I never want you to feel insecure and if you ever are feeling down	 just know I am here for you. I love you Gabbie Hanna. Have an amazing day lovey. #teamunderdogs ____																														
Gabbie i wish that i looked like you	 your body looks amazing!																																			
as a friend you should telk her or is it just in Belgium that friends talk about that																																				
"I'm so proud of you! I too have struggled with eating disorders since I was about 13 years old. I'm almost 18 now and to this day no one knows I was bulimic for almost 2 years. No one knows that I continuously judge my body and sometimes I ""forget"" to eat. I love you for being able to talk so openly about this and you're such a huge inspiration for me. You make me want to become a better person and I feel like I can get help now if I wanted to seek it out. Thank you Gabbie for always posting honest content and for being you =) <3"																																				
As a trans guy	 I have a really difficult time accepting my body. Thanks for this video. It helps knowing others share my experiences.																																			
Wait real goldfish?																																				
this helped me a lot I always thought that I was fat because all my friends were skinny minnies and I was oppsesd with food like pizza	fast food	cookies	cake and all of that stuff and we'll I didn't know what to do I was 100 pounds when I was 12 and well I hated myself for being fat I watched like twenty million videos of how to get skinny but I kepped on eating then one day I felt so sick and kept on throwing up for three days straight without eating only drinking water but then I looked in the mirror and saw my stomach it looked flat and to me it looked pretty so then that look gave me the idea to achieve my goal and get skinny so I did and now I am healthy I love u gabbie and I know what you went through and I feel bad __																																	
Thank you for making this video! I have been struggling with and eating disorder and still do! Eating disorders need more recognition! They are the most deadly metal illnesses and I was almost at the point where I could have died! This means a lot! Yas girl spread the awareness!__ I love you Gabbie! Thank you so much for making this video!__																																				
Thank you for this	 Gabbie. It means a lot.																																			
stay strong Gabbie we love you																																				
stay strong Gabbie we love you																																				
omg gabbie Colleen watches you omg!!!!!!!!!! I love you gabbie!!!!!!!!																																				
Thank you for your bravery! You are an awesome and beautiful woman. Stay strong bby <3																																				
as always making the right points	 in a way that shows how much you care about us. thank you	 love you xx																																		
"My friend is one of those girls who has such a good metabolism that she can eat whatever she wants and won't even get bloated. Me, I have more fat on my stomach, more boobs and butt and one day I made a comment about how I wasn't okay with my body and that I wished I had hers. She then proceeded to tell me she wished she had mine because I had ""curves"" It was a really eye opening experience for me and it showed me that people want what they don't have and will always find something to hate about themselves."																																				
Your so brave! You should be so proud of yourself! Love you	 Stay strong ____																																			
You have no idea how much this has helped me. Ive always been self conscious about my body and I always compare it to other peoples bodies so I'm so thankful and proud that you made this video	 it reminded me to love myself no matter what__																																			
I still think I'm a fat bitch and I don't think that's going to change	 I know no one wants to be me	 and sometimes I think that my only friends are my teddies Garry the gorilla	 benny the bunny	 percey pig and Paddington bear. There the only people that I can talk to and sometimes I hate myself in fact sometimes I hate myself so much that I think I'm better off not alive																																
Thank you for making this you are awesome and beautiful!																																				
I love you Gabby! I am proud of you!																																				
bish u pretty																																				
Who are these fowl 119 people that disliked this beautiful video. I love you gabbie	 you are honestly one of my inspirations in life. Your body is so perfect and is honestly my goal	 not some Victoria's Secret model. I'm so happy you feel better	 and I hope for more happiness in life to be on your path. Love you																																	
You go Gabbie! Love ya__																																				
This video needs to be shown to every single girl and woman out in the world because I know so many people who feel like they're alone in this - that people don't understand their struggle. Some people are naturally skinny and some people are naturally overweight. And that's fine. Some people have really great metabolisms and other people not so much. I think life is about moderation. Enjoy the things you want to do and eat but also take responsibility for your body and how you are feeling and nurture your body in a healthy manner so that when you do eat a delicious donut and fries	 you won't feel guilty because you know that you're exercising	 eating healthy	 eat proper portions etc... Denying yourself the things you want will only make you want them more and will cause harm to your body	 your mentality and you will end up consuming more than you planned for. I know this because I've done it many times in my life. It's a constant struggle and it is a life long journey. But each day you work hard it will get easier. If you mess up	 try again!																															
You are awesome.																																				
Gabbie	 I doubt you'll see this	 but I wanted to say thank you for making this video. I think you're so beautiful and I've looked up to you for quite a while now	 and I've been struggling with a lot of similar food- and weight-related issues	 so hearing you talk about it meant so much to me. Thank you for being so open and real. I love you __																																
what was the app called																																				
I've been through the same thing and I could say I feel relieved that I'm not the only one that has lived like this her hole life and I'm very young. As well through my life	 my family and friends have told me I'm fat and I know that I'm a little over my weight	 but when I see myself I just see a very fat girl with thick thighs and arms	 not being able to find cool clothes that look good on me	 being uncomfortable going to the beach or a pool party	 eating out or simple just sit in a chair worried that people are looking at my fat. But you made me realize that I'm not the only one like this and it shouldn't matter what people say	 with just loving my body is enough to be confident and happy. So thanks Gabbie!																														
Good for you!! Keep up the positive thinking. <3																																				
All i can say is THANK YOU GAB__ I always been bullied for my body	 for not to be skinny and in my head the people that always said to me that I was fat	 they were right! It took so long to me to realize that I'm not everything that people says about me	 I have to accept my body the way it is. I go to the gym and now I'm feeling a little more confident:)																																	
Bae is so hawt. __																																				
I think it would be really helpful and important to hear about your journey if you're willing to share!! Hearing all this just grows my respect for you so much!																																				
more I'm depth video?__																																				
You are so BRAVE! <3																																				
I would have prefered u go into more detail about your eating disorder	as it was very vague																																			
Can you please make another video of this inspiring story please this was actually amazing and honestly the most inspiring thing I've honestly heard																																				
Gabbie u r perfect the way u r and where																																				
You are amazing and beyond beautiful Gabbie. My whole life people have complemented on how skinny I am but I have always compared myself with others and thought that I wasn't really that great looking. I go through cycles of working out and watching what I eat to pigging out and not working out for months. This video actually made me cry and made me realize that I need to learn to love myself because I am beautiful the way I am. You are a huge inspiration to me and everyone that watches your videos. Thank you so much Gab! __																																				
"I think it is very courageous of you to make this video, Gabbie! Very inspirational as well. I would love to hear more of your journey ;) (You told us to let you know) :D"																																				
You are so inspirational and I know this video touched so many people because it definitely hit home for me. Thank you for sharing __																																				
I was 330LBS back in 2014	 one year later I'm 286LBS 2016	 and that came from not worrying about my weight	Ênot thinking about the pressure of critics tryin to down me	Êand just training everyday and taking it at slow pace until I felt comfortable with taking my exercising a lot higher	 soÊI completely get what you're saying Gabbie	 thanks. Underdogs Unite!																														
This is so beautiful! Thank you! For being so brave and posting this__ we love u																																				
Gabbie	 have you ever thought of going vegan? Tons of ppl fought and overcame their eating disorders because if you eat the right food	 you don't have to restrict on food and get to eat as much as you want. I became vegan for the past 3 months for health reason and I eat as much as I want	 I feel so much energetic and by eating as much as I want without thinking of sliming down and lost 10 pounds without even trying.																																	
Please make a video that is more in depth. I find your story to be very inspiring and would love to hear more. I love you Gabbie!!!!!!																																				
"""Don't ever assume that you know somebody. It don't know their struggles. You don't know what they've been through. And you certainly don't know their demons."" I love that."																																				
hey gabbie this is honestly the first time I have posted to any video and a i am a huge lurker but i kinda have to say this: noone on here can ever walk your steps or even see things the way you see it 100% of the time, but as a human we all have empathy and try to feel for you, as I am. you are a good person and know you have an outlet to voice your feelings it is one thing you have and we will be here to listen and help with what we can. you do look great and never shame yourself into thinking wrong about it. you will change and grow up more in time and i do hope to see and learn from you more.																																				
Yes	 please share more details																																			
Just like Colleen said I say it too I'm proud of you too I needed this a lot this is inspiring to me and my friends to not listen to what others say and listen to your heart and have faith in yourself and keep moving forward and not give up your probably the first Youtuber I've ever heard say this thanks a lot I really needed that today__																																				
_______																																				
we love u gabbie....... i need confidence..... i like your nose....... im wierd... ilysm																																				
im going to give the the biggest hug i can give you right now.... there																																				
that was amazing																																				
I never looked at you and thought you were fat. You inspired me to be myself! Thank you :-)																																				
Aw gab. I love you. Your perfect______																																				
I have no one to talk to	 but I'm so proud of you xx																																			
________																																				
We are all beautiful__ Each and everyone of us. But sometimes I think we look at models and see their small waist and think well my waist isn't that small so I must be ugly and unattractive. But that is so not true! Our goal shouldn't be to get a super small waist or to weigh a certain amount on a scale																																				
You sure helped someone Gabbie __																																				
i hope soon you become completely confident in yourself because you should be	 i love you so much gabbie :)																																			
I'm so proud of you Gabbie for talking about this xx ilysm																																				
"EVERYONE IS PERFECT!! No matter what someone says, look at yourself in the mirror and say: ""This, is who I want to to be."" Everyone should. No matter your gender, race, weight, height, clothing, or anything else on the list of things people beat themselves up about, YOU. ARE. PERFECT. Don't let anyone tell you otherwise _"																																				
_______________________																																				
Gabbie ur not fat																																				
Wow Gabbie	 this is something that none of us would've known. We are all so proud of you but we are also inspired by your amazing personality. Remember what that means to you and how much you mean to us																																			
Simply Thanks now I know what I am going to do next																																				
Your amazing just the way you are.Love ya boo______																																				
Thank you for this video <3																																				
 JA-SON!	I've been struggling with my weight and body image very badly for the last little while	 so much that I didn't want to eat anymore	 but you're story has shown me there are better ways to love my body. Thank you from a very self conscious 17 year old _																																	
Is it bad that I cried during this video? I'm crying i dont know why! I guess it's a tears of happiness because I know this feels! People say I'm skinny but I keep saying to myself I'm fat__ And the ending song was sad!!__																																				
Thank you so much for this Gabbie. I love you so much and you are my biggest inspiration. You are such a beautiful human being inside and out and I'm so glad I found you on here. Thank you Gabbie. YOU CAN DO IT__																																				
Thank you so much Gabbie.																																				
Gabbie	 you are absolutely beautiful!!!__																																			
love you gaddy																																				
You are normal skinny is normal fat is normal and in between is normal but one thing that they all have in common is that you all are Beautiful																																				
today was the first day I went to the beach in over 3 years because of how I feel about my body and I'm fucking proud																																				
Yeah unfprtunetely that is one of the big problems with people not tracking their calories can lose track of how little they're eating because a 'serving' isn't really a serving because a lot of food companies lower what a serving is to show that it doesn't have that many calories																																				
I was holding it in but as soon as i heard the song start to play i broke lol																																				
"This video made me cry. I struggle with the exact same things as you do and this hit home. A huge problem is the people around us or on social media who get upset and go for your picture and how you look to tell you you are less of a person than them because they consider you ""fat"". That's not okay."																																				
I love you gabs <3 We all love you. thanks for always being so open!																																				
Love u Gabby and thxs for the inspiration.																																				
I'm happy for you __																																				
This video is so reassuring that I'm not the only on out there with the same problems!																																				
Thank you so much Gabbie. Thank you.																																				
U r so fucking beautiful gabbie																																				
Gabbie you're such an inspiration to me. I still struggle with my body. Especially my skin colour and my weight. Thank you so much and I'm very proud of you__																																				
Thank you so much gabbie	 I am so sorry this happened or that you felt this way about yourself	 but this video might have actually helped me with how I feel about myself so thank you __																																		
I watched my cousin almost die twice from anorexia. I was one of the handful of people to be by her side the whole time. I spent time with her in hospital and outside of it. It kills me inside to watch other people deal with eating disorders and that I can't be there for them like I was with her. You're not alone in this as you can see by all the supportive comments on this vid. Just be you	 and be the best that you can be. You have an amazing personality	 you're hilarious	 and you're smart. Take pride and comfort in that. Glad to see that you're getting better :)																																	
I love you so much <3																																				
One of my favorite videos	 Gabbie! I really relate to this.																																			
This video just changed my life. I just bought my first bikini	 and completely freaked out first time I wore it. When I do wear it	 I wear a tank top over it to cover up my skin. I think because of this video I'm gonna take off the shirt when I go to the pool tomorrow. Thank you so much gabbie- I love you so much																																		
I love you for making this video. you are an incredible role model	 thank you	 REALLY thank you for making this. it's a tough struggle	 and it never ends	 but we all need to support each other!																																
Such a emotional and touching story	 I know you will help alot of people with this	 You ars so brave!																																		
I love how you're better now	 right? love you gabbie xx																																			
gabby i am so glad you made this video. i went through the same thing a few years ago. thank you																																				
__________________																																				
YOU ARE BEAUTIFUL!!!!!!																																				
Gabby I'm so proud of you and ur voice and talking about it truly inspires me																																				
Go vegan																																				
this really touched me. thanks gab <3																																				
Gabbie	 you're gorgeous! Love u you are my inspiration																																			
Please go more in depth! You are strong. Ilysm																																				
I would love a more in depth video about your eating disorder but if your not comfortable sharing don't do it. Even if you want to help others you shouldn't do something you're not entirely comfortable with. It's so sad seeing someone as beautiful	 smart	 and talented as Gabbie struggling with body image no matter what others say you have people around you and even your fans that love and support you. I know that words hurt but don't believe what your told if that person is only trying to hurt you.																																		
gabbie	 we love you no matter what. I'm glad your got out of that dark place in your life ___																																			
This video made me realise so many things Gabbie. I love you and how 8minutes of my life changed how I see myself and how I compare myself to others. Thank you Gabbie ____________																																				
This video was so helpful gabbie. I suffer from body anxiety and I loved hearing your story.																																				
I have lost 9 stone and I'm a 'healthy weight' now but I still struggle. I focus on the number that is on the scales and I just want to say thank you for this video! It has made me feel so much better!! X																																				
Wait who thinks she's fat? Cos I have a huge problem with them... __																																				
I am a dancer (13) and there is a girl at my dance studio (15) and she is honestly as good as a professional and she has anorexia...my mom had anorexia when she was around our age and i have stuggled w my weight and appearence bc i want to be as good as this girl so badly. I'm not fat but I'm not skinny as i wld like to be at all but my mom is kinda worried i will turn out like herself. When my mom was sick she was in the hospital for 6 months and weight 82 lbs. at about age 14-15...this video really helped me and instead of not eating i will try and start eating healthier__ PLS RESPOND. I'm a new sub																																				
I love when u share ur problems with us cause it makes us well at least me like u think of us as friends instead of fans and u should never feel ashamed of sharing ur feelings																																				
I love you so much																																				
U should never feel bad about your self																																				
Your amazing Gabbie your like my role model																																				
Gabby you've always been beautiful to me. I definitely prefer you now though because you're so much happier and healthier. You're such a gem to this world and I'm glad you're working on your health and being comfortable in your own body. I wish you the best and I'll continue watching your videos until the very last one. Love you Gabs______																																				
Gabbie my bestfriend had an eating disorder which caused her to push people away and (because of a lot of other things too) commit suicide. I'd really like to know more about it please to a video about it in depth																																				
I love how you open up and inspire so many people. This is why I check your channel first. Love you Gabbie	 my hero!_																																			
____________________																																				
"its strange how much i relate to this honestly. ever since i was 10 i would always hear ""you need to lose weight, how did you gain so much weight, what are you eating"" it would always hit me to the core because when you hear it consistently it really severely damages you. this used to gut me to much that i used tor resort to food as a therapy of some sort. food would always make me feel better, and its no normal amount. i would eat a lot at a time if i were upset because i would just feel better. ever since i stopped growing i stopped gaining weight and began losing it slowly, i joined the gym and am doing okay now. when i moved to canada i was 14, i didn't visit my home until i was 18. the FIRST thing i heard from everyone, and i mean literally everyone is ""you still didn't lose weight, why didn't you lose weight yet"". that just reminded me of how shit the people are where I'm from and how superficial they are. those people fucking suck and i can't help their shitty way of thinking. so coming from someone who was bullied for being chubby in school, told almost his entire life that he needs to lose weight (from people who think they are helping such as my family but in reality are fucking me up mentally) i can tell you that if you tell everyone negative around you to fuck off, you will naturally start thinking on your own, and do what you want to do and you stop doing it to please other rather than yourself. it has been six months now and thankfully on this trip back home everyone is telling me i lost weight (which they can fuck off for because they used to ruin most of my days before that) sorry about this long rant but its a very sensitive deep dark issue in my heart i needed to let go :P"																																				
Personally you justade me realize something. I started feeling bad about eating too much a couple of months ago. I just realized that its not okay that I feel bad for eating...only because I feel like my body could be even more beautiful when I know for a fact that I am skinny.... You just made me realize that I need to do something about this before it gets worse. I reduced my food portions a lot, I feel bad eating candy or eating when it's not a time I'm supposed to be eating. Only because I'm scared to gain weight. If you see my comment can you give me some advices? I think I need to do something because it's all red flags...																																				
"You are hot as all hell, you're smart, beautiful and special. Looking good is a state of mind,an attitude, not a number on a scale. Nowadays i am 26yo,115kg(google will help here) :D, happy, married to the love of my life and my best friend(same person). I never thought she would even look at me(she was a 9+ in my eyes, i saw myself as a 4 tops,apparently i am better). We learn to survive, live and rock the hell out of our ""flaws"".someone will fall in love with you for those exact"" flaws"" that they find fantabolous about you. You do you and let the world deal with it's own bullshit. You are beautiful even if sometimes you don't see yourself as such"																																				
Love you Gabbie!!!!																																				
Thank you for this video. If you wanna talk about it more I would love to listen. I know the struggle.																																				
Gabbie you are so beautiful and I'm so happy that you are so open and I love you																																				
Your so beautiful I'd love to see an in depth video I relate to you a lot one of my friends told me I looked pregnant and I've been completely self conscious about my weight ever since but this helped me a lot																																				
when i was 12 i would starve myself then when i would eat	 my body would store anything i ate as fat. so i ended up being 150-160 pounds until i realized that is so unhealthy. i was slowly killing myself. now i'm vegetarian and i work out a little bit	 and i'm 115 pounds. :) there's always light at the end of the tunnel	 eating disorders are terrible but i promise you can get through it																																	
i would like too see a vid where u get more in detail																																				
Dear Gabbie, You are such an amazing girl and I am jealous of how pretty you are. You are beautiful the way you are and we all love and respect you. From Your Loyal Subscriber, __love you Gabbie__																																				
You are such an inspiration for me and I want to be as strong as you are you are beautiful no matter what inside and out __																																				
Gabbie	 you are doing a great job. I hope one day I can meet you. You give me a strange confidence when I watch your videos	 when I hear about the trials you overcome it really	 inspires me. I hope one day I can afford to come out to one of your meet n greets	 but until then I'll always be a loyal watcher <3																																
Amazing video. This hit me hard and I'm happy you made it. I'm proud of you and I love you. Thanks																																				
You're body is perfect they way it is and the way it was. Fuck others.																																				
You're so amazing gabbie	 no matter what your gorgeous and brave so continue to be you !______________																																			
I've been struggling with eating disorders since I was 12. I went from a fat kid to anorexic (only eating about 300 calories) who worked out 2-3 times a day and would be the girl passing out during gym class. Then fitness junkie who would weigh and record every single thing to eating too much junk (cuz I finally allowed myself too and now overdoing it.) now I'm trying to find a balance between fitness Junkie and cheat days. I think everyone struggles with it because we're programmed to think that perfection exists and we will starve ourselves to get there.																																				
listening to her saying she always called herself fat and was always called her fat broke my heart. because I relate. God bless you gabbie I relate to this video so much. and I'm so happy you made this video it helped me and just thank you																																				
Thank you for posting	 I've went through similar things and I'm still trying to better myself everyday.																																			
wow gabs your really strong																																				
your perfect just being you!!____ and you are so brave . love you________																																				
my favorite YouTubers had/have eating disorders																																				
I really admire you for speaking about this gabbie	there was a time in my life where I struggled with food	I lost a lot of weight and became very tired	I tried to switch up my diet because I felt...idk I guess fat because when I was in 5th grade there were people that called me fat on a daily basis and over time I started to believe it and developed a love/hate relationship with food. I'm okay now and I'm glad you are too gabbie.__																																	
"Wow, I went through this kind of thing in my life too... My own step ""mom"" told me constantly how I should be like my sister who has always had a ""flat"" stomach, so I always compared myself to girls/women with flat stomachs... But I naturally have a narrower body (then my sister) so I'll always have the little pouchie my sister doesn't have... I'm 26 now and still have some issues with my stomach area, and I now have a 3 year old of my own... I am now finally starting to feel comfortable in my body"																																				
________________																																				
This video hit me like a truck. I don't have an eating disorder but I have a depression	 anxiety and panic disorder. I cried a lot while watching this because it's somehow so similar to what I feel. Love you so much Gabbie ____ And thank you so much.																																			
________________																																				
This really hit me hard	 seeing how many others struggle with eating disorders. I have bulimia and the thought of keeping food inside of me actually scares me so much	 I'm still not loosing weight but I'm not putting any on. I don't want this to turn bad so I kinda need to try and really stop																																		
You're beautiful Gabbie.																																				
My story is kind of like yours. last year this time I was 300 pounds because my body was in starvation mode and people would just tell me I look good and so I would continue to not eat to the point where now I'm not hungry naturally but that's not the point. I worked really hard to get at this weight and now? I am 170 I am so gappy	 stay true to yourseof.																																			
You're amazing Gabbie ____																																				
thank you.																																				
This video was so inspiring I love you so much gabby________																																				
L																																				
Gabs were all here for you and we will all support you																																				
L																																				
L																																				
Your before body may be somebody goal body really hit hard . I love you Gabbie ______																																				
Great video. I might not be overweight but I think it is great how she opened up. Kind of touching really.																																				
"I'm really self concious. I don't feel I fit in. I haven't told anyone and to yell At least 1Million people is a big step! Here goes.. <3 I was born fine, healthy and happy! I also have no eating disorders! I have asked my Mum "" Do I eat healthy and have I had enough excersise?"" And I do! I look at all my friends and think Why am I not that skinny? Everyone runs faster than me and yet no one makes fun of me! I still don't feel I fit in. The reason I'm telling you guys is I'm hoping I'll help/talk to people in the same situation. I'm sorry if this was a waste of your time and if there was any grammatical errors ____"																																				
much love and respect to you for telling us you're story. __ thank you.																																				
this is amazing for you saying this this is an inspiration for all woman and even men all around the world!!																																				
Put 50lb's on. I'd still bang ye. You're welcome.																																				
Hi Gabby	 I'm so happy that you got through it and you're now at a better place	 i'm glad that you're not going through such dark	 hurtful issues anymore. Because i really like you	 your videos and your personality	 and you're gorgeous no matter what people say or what others may look like. I have to deal with something similar to that daily by myself and it's something i wouldn't wish to anybody. You're so brave. ilu																															
________																																				
it's so hard.. thanks for this Gabbie																																				
Be vegan Gabbie!!! You will be so much happier and healthier. Please watch Freelee	 she can help a lot.																																			
Don't cry Gabbie we love u																																				
you are not fat don't listen to the haters you are so pretty I am so happy that you accepted it and worked hard to fix it you are so awsome we all love you (exept that .0001 that are Internet trolls) you are the best																																				
Gabbie. You are so wonderful. Thank you for making this video. You are so right on how one persons before picture could be another's goal picture I don't think anyone has ever thought of it that way. Please keep it up and stay healthy for all of us because without you people wouldn't have a little glimmer of happiness every day. I hope you read this and it makes you smile. ~Tatum~ ____																																				
Omg gabbie this made me cry it was so inspiring I'm never gonna be able to stop watching ur vids! I just want to tell u ur body and image has always been beauty in my eyes from the day I started watching these videos I thought I wanted to be like u	 u have gorgeous eyes	 goals hair	 a winning smile 	 cute as nose a tan and as hot bod but even better an amazing personality !!!! Xxxx																																
I cant thank you enough for making this video it made me so happy and it really made me think of myself in a different way. love you <3																																				
This is such an important message! Thank you so much for sharing	 Gabbie.																																			
Your body is my goals	 Im only about 90 pounds but i want to weigh more..																																			
thank you. thank you so much. you have no idea how much i needed to hear this.																																				
PREACH ______																																				
I love absolutely everything about you. Well I don't know everything about you but I love everything I do know__																																				
i love you gabbie stay strong your so amazing!!																																				
IDK the how tf someone could dislike this bs man __ love you Gabbie ___																																				
You're so beautiful Gabbie! You have the most amazing figure! ______																																				
I think you're body is perfect! You shouldn't be any different __																																				
I really needed a video like this in my life today. And don't ever be ashamed or embarrassedÊof what you have accomplished and how you have changed Love You So Much Gabbie___																																				
i think of u as a inspiration because i love u so much and just keep being u and stay u																																				
I relate to you 100%! Currently I am in intensive anorexia nervosa treatment. I am being treated and was in the hospital for a while. I am there every day of the week exempt Sunday's.. Which ruins my summer :( I am 14 years old right now and I didn't realize how serious it was. I don't want to recover :/ it's so hard. I am not going to be done with treatment until 2017 so there goes my year. It's really hard but I hope I can get through this. :(																																				
I've been thinking that I was fat. that's all my sister has been telling me. this video make me feel much better.__ thanks Gabbie. I'm crying cause this video is truly beautiful. Like you Gabbie.																																				
I love this	 you have probably helped me more then my own friends and family have <3 <3 :)																																			
Love you Gabbie! __________																																				
takes a tone of ball to do a video like this 	and I thought you were attractive before had dang you went from a 10 to a 20 because you can say something like that on camera																																			
this video hit me hard and made me cry. I hate my body so much	 however	 I don't have an eating disorder. I'm depressed and self harm because of friend issues and body image issues. I feel like I'm all alone. but this video definitely helped me a little bit	 so thank you much for sharing your story gabbie. you're so brave and I love you__																																	
Gabbie	 this video was very beautiful and I believe that you are an amazing human that deserves all the happiness in the world. A number on the scale doesn't matter	 don't let that take over your life more than it already has. Just continue to be the best person you can be	 ily.																																	
The 115 people	 who disliked this video have no heart																																			
Love you Gabbie. You will always be a hero in my eyes__																																				
You are so strong and gorgeous	 thanks for sharing																																			
thank you so much! girls and other kids this generation will never appreciate what you just said thank you sooooo much and no matter what people say to are a precious little bean and i love you so much gabbie. you make me smile and you make me laugh and you are so amazing thank you so much __																																				
Thank you for talking about this!! You are so wonderful and beautiful and i keep looking at your vlogs and your body and I have such a crush on you because of it ^///^ Most of my body anxiety came around the fact that i thought/think no boy or girl will ever love me because of my body. But i just have to look at my taste in women to know that people are attracted to all types of bodies!! And all of the people reading this comment	 don't forget	 that you look like somebodies dream girl!!																																		
GABBIE your not fat you are beautiful there is no such thing as fat and skinny																																				
I'm doing a similar thing that Gabbie talked about where I will binge eat one day and then starve myself for like two days. I'm not doing it because I think I'm fat	 it just kinda happens. I'm barely in the percentile I need to be. I'm like 96 lbs. I have a pretty high metabolism. I'm just terrified of gaining weight because I know I'll never lose it. :/																																			
This video was such a wake up call for me	 I didn't realise until you put it in to words that I have an eating disorder the same as you struggled with	 thank you for this because now I can take steps to get healthier and over come it! __																																		
"Love your recent videos. Especially this one. Made me want to cry at a couple parts because it pains me to see people sad or ashamed because of the body they were given. When you mentioned that you were likely an example of that woman's ""goal body."" Aw, that's so true. :') Also, you reminded me to challenge myself in healthier ways than reaching a certain weight or shape._ I'll remember that when I start to eat better amd work out."																																				
This made me eat for the first time in 4 days	 thank you																																			
I love you so so so so much Gabs __																																				
I'm 15 and anorexic and have been for nearly 2 years now I'm so glad you are making a video about this and you describe so well how it feels thank you. It's hard sometimes I don't know what to do. I love you xx																																				
Waiting for freelees response like......__ love you and your courage to talk abut this__																																				
I personally think that you have a great body and are gorgeous don't believe the haters																																				
____																																				
All of us love you and support you	 so just keep doing what your doing- love your family																																			
"Jesus who told you thatÊyou were fat? All your fans know that you think you are fat and you have been trying to lose weight and I'm not just saying this because I am a fan and I want to make you feel happy, I genuinely do not think you are fat. I have been watching your videos for a long time and not once did I look at you and think ""Damn she's fat."" I don't weigh a ton or nothing but I would look at you and think that you are goals :)"																																				
Gabby you're beautiful the way you are I love you so much stay who you are #GoUnderdogs																																				
Thank you so very much for this!																																				
I know you won't read this	but I'm in a somewhat similar situation as you	this helped me a lot	as an aspiring star athlete	I'm a little big	but not overweight	but I always tell myself I am	I'm very fast which is surprising	and I'm good at many things	but it always comes back to me	but I'm working on it!just like you did!youre beautiful the way you are	this really helped me out																									
Thank you so much for making this. I relate to this a lot and it feels a lot better knowing I'm not alone.																																				
gabby	 this is amazing	 i can definitely relate	 i am now a mom	 i'm getting married and have our own home	 and it is extremely hard to recover	 but i just want to say that it can get better and i am incredibly proud of you for sharing.																														
you are a beautiful girl	 you are to brave	 we all love you	 I hope you know how much we love you.																																	
We all have battles to fight within ourselves. I applaud you for dealing with yours	 Gabbie :)																																			
You are such an inspiration to me. Thank you:)																																				
GABBIE YOU'RE PERFECT________________																																				
just going to throw this out there you are	 PHAT	 and if u dont know what that means hit me up and i will tell you	 just had to throw that out there																																	
